dbstat_object	parent_64k_bytes	final_4k_bytes
df_lit	194052096	174039040
node	15335424	15630336
edge	12386304	12673024
file	851968	770048
arg	786432	737280
site	786432	688128
param	524288	450560
df_field	393216	282624
sig	327680	274432
specifier	196608	102400
capture	65536	4096
cfg_scope	65536	4096
const	65536	36864
coverage	65536	4096
data_doc	65536	4096
data_value	65536	4096
df_allocates	65536	4096
df_loop	65536	49152
df_nest	65536	57344
diagnostic	65536	4096
doc	65536	45056
doc_node	65536	4096
doc_tag	65536	20480
fact	65536	4096
file_edge	65536	4096
file_unresolved	65536	4096
flow_edge	65536	4096
free_name	65536	4096
graph_edge	65536	4096
graph_node	65536	4096
graph_path	65536	4096
graph_path_change	65536	4096
graph_root	65536	4096
line_start	65536	4096
local	65536	4096
macro_site	65536	4096
method_owner	65536	4096
occurrence	65536	4096
package_edge	65536	4096
projectedge	65536	4096
protocol	65536	4096
reference	65536	12288
resolved_edge	65536	4096
resolved_import	65536	4096
resolved_type_edge	65536	4096
run	65536	4096
scip_callee_type	65536	4096
scip_def	65536	4096
scip_diagnostic	65536	4096
scip_document	65536	4096
scip_documentation	65536	4096
scip_edge	65536	4096
scip_external_ref	65536	4096
scip_fn_edge	65536	4096
scip_impl	65536	4096
scip_index	65536	4096
scip_local	65536	4096
scip_metadata	65536	4096
scip_name	65536	4096
scip_occurrence	65536	4096
scip_occurrence_doc	65536	4096
scip_ref	65536	4096
scip_relationship	65536	4096
scip_signature	65536	4096
scip_signature_occurrence	65536	4096
scip_skip	65536	4096
scip_symbol	65536	4096
size_skip	65536	4096
sqlite_schema	65536	40960
sqlite_sequence	65536	4096
symbol	65536	4096
test_only_call	65536	4096
unresolved	65536	4096
witness	65536	4096
